Year,Grower,Filed  name,Ph,K,P,Mg,Soil texture,K fert,P fert,Mg fert,Rolling after drilling,Irrigatio ,Pre-emergence Herbicide,Post-emergence Herbicide,Insecticides,Fungicides,Cultiavtions,Drilling date,Harvest date,Variety,Yield,Temp.,Rainfall,Lat,Long
2018,Benacre Farms,Lakey Hill,7.6,2,4,2,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,14/04/2018,04/07/2018,BG3,5.5,18.6,78.2,52.19383,1.39067
2018,Benacre Farms,Ravens Rt,7.6,2,4,2,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,14/04/2018,04/07/2018,BG3,5.5,18.6,78.2,52.19383,1.39067
2020,Benacre Farms,Covehithe Walk,7.7,1,4,2,,90,15,14,,Y, Nirvana," Basagran, Tropotox ", Aphox,,Ploughing,07/04/2020,01/07/2020,GE,6.1,18.1,66.4,52.19383,1.39067
2019,GL Anderson,"Heater, star",7.62,1,4,2,,90,15,12,N,N, Nirvana," Basagran, Tropotox ","Hallmark Zeon, Aphox ", Amistar,,11/04/2019,,GE,5.7,,,52.80034,1.55076
2020,FOSTER HARRISON FARMS,GOWARDS EAST,7.5,1,3,1,SCL,0,0,0,Y,N, Nirvana,,"Hallmark Zeon, Decis Protech ",,Ploughing,07/05/2020,22/07/2020,BE,4.3,18.7,105.2,,
2015,PC Kindred and Son,HWK Triangle,8.1,3,3,3,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,22/04/2015,16/07/2015,BG,7,17.7,96.6,52.19383,1.39067
2017,PC Kindred and Son,Stone House,8.2,3,3,2,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,30/05/2017,10/08/2017,ST,6,21,116.6,52.19383,1.39067
2020,PC Kindred and Son,PG Drome,8.3,3,3,3,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,30/05/2020,15/08/2020,BA,4.6,21.9,104.2,52.19383,1.39067
2020,PC Kindred and Son,PG LHS,8.2,3,3,3,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,30/05/2020,15/08/2020,BA,4.6,21.9,104.2,52.19383,1.39067
2020,PC Kindred and Son,Valley,8.1,3,3,4,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,31/05/2020,15/08/2020,BA,5.6,21.9,104.2,52.19383,1.39067
2012,GL Anderson,Star/ Village,7.52,1,3,2,,0,0,12,Y,N,"Glyphosate, Nirvana"," Basagran, Tropotox ","Hallmark Zeon, Aphox ", Amistar,,31/03/2012,15/07/2012,FS,5.2,15.2,350.8,52.80034,1.55076
2017,GL Anderson,School,7.4,1,3,2,,0,0,15,N,N, Nirvana," Basagran, Tropotox ", , Amistar,,20/04/2017,07/07/2017,AA,7.6,18.6,132,52.80034,1.55076
2020,GL Anderson,Village / Home,7.52,1,3,2,,90,15,12,N,N, Nirvana," Basagran, Tropotox ",Hallmark Zeon , Amistar,,16/04/2020,09/07/2020,SL,6.6,18.5,80,52.80034,1.55076
2013,Bedingfield Hall Farms,Webbs,8,3,3,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,08/05/2013,26/07/2013,BG,7.4,17.8,75.7,52.26337,1.21414
2013,Bedingfield Hall Farms,Darleys,8,3,3,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,09/05/2013,26/07/2013,BG,6.2,17.9,75,52.26337,1.21414
2019,FG Taylor,Mortimers,8,3,3,2,Clay Loam,0,0,0,Y,N,"Glyphosate, Nirvana", Tropotox, Decis Protech, Amistar,Ploughing,31/05/2019,,NA,5.6,,,52.1439,1.25783
